peak,bg,p999,core_px,warm_px,core_energy,tail_px,core_rows,core_cols,asym,core_aspect,x_mm,peak_rm,peak_rs,bg_rm,bg_rs,p999_rm,p999_rs,core_px_rm,core_px_rs,warm_px_rm,warm_px_rs,core_energy_rm,core_energy_rs,tail_px_rm,tail_px_rs,core_rows_rm,core_rows_rs,core_cols_rm,core_cols_rs,asym_rm,asym_rs,core_aspect_rm,core_aspect_rs,track,sem_rough_h,sem_rough_v,sem_sd,sem_iqr,sem_dark_frac,sem_bright_frac,sem_level,sem_asym,sem_rough_h_rm,sem_rough_v_rm,sem_sd_rm,sem_iqr_rm,sem_dark_frac_rm,sem_bright_frac_rm,sem_level_rm,sem_asym_rm,width_mm,left_mm,right_mm,rise_mm,valid,centre_mm,edge_rough_L,edge_rough_R,waviness
2738.0,1163.0,2680.0,2416,6009,2861070.0,3593,56,56,11.672095397943126,1.0,20.1,2726.0,12.529964086141668,1153.6666666666667,14.468356276140456,2670.000666666679,14.798310725658903,2503.0,76.54410493303844,6233.666666666667,354.22074096999654,2976713.3333333335,122441.69996097463,3730.6666666666665,306.6273525524644,56.666666666666664,0.5773502691896263,57.0,1.0,9.35686092428139,3.3624134478914893,1.0058479532163742,0.010128952091046082,8,0.14464417069917979,0.153402350173236,0.6053977288443414,0.8474371080603376,0.06591202177962459,0.0010030090270812437,-0.5361336806096013,0.052855470052571935,0.15165052483489533,0.16835069244061632,0.629555454499901,0.8993210126354603,0.05126690045888233,0.0015439362062858112,-0.4957795326067281,0.04408568592179904,,,,,False,,,,
2727.0,1137.0,2677.0010000000184,2560,6642,3104976.0,4082,57,58,10.898427118330634,1.0175438596491229,20.3,2720.25,15.392097539538485,1154.25,11.870832602082565,2665.250500000009,15.370415316444637,2498.5,63.14269553954757,6227.5,289.48287226247663,2959018.0,106052.56187381803,3729.0,250.3823742465378,56.5,0.5773502691896257,56.75,0.9574271077563381,9.913248393415135,2.962344374468286,1.0043859649122808,0.0087719298245614,8,0.1592014175057534,0.18007079795065062,0.651753980149838,0.9166156474938345,0.04752418895845191,0.002916903813318156,-0.44966050631773014,0.04105182008479835,0.15740231624556267,0.17943426703773582,0.6365346900276582,0.8863500364916796,0.05452224098811466,0.0016395789831125033,-0.5318100218950077,0.045944137082904596,,,,,False,,,,
2713.0,1161.0,2653.0010000000184,2533,6050,2964094.0,3517,57,57,5.5000602565704115,1.0,20.5,2712.8,21.33541656495138,1156.6,11.545561917897285,2655.6004000000075,25.35368612845431,2504.4,56.25211107149668,6155.8,297.58141743059167,2936618.2,104614.12242235753,3651.4,277.7180224616328,56.6,0.547722557505166,57.0,1.0,9.943540434389709,2.5663595195217583,1.0070175438596491,0.009609167675529254,8,0.1511059862997528,0.17157892919796242,0.6315146545055235,0.9339102823522087,0.04036449063857051,0.0007118957784580338,-0.5015444108928528,0.03834976762802683,0.16222406428154934,0.18663303158231187,0.6395725319062824,0.8993210126354603,0.055767458461284156,0.0016531057814537244,-0.5465104615246259,0.04140893320464044,,,,,False,,,,
2703.0,1156.0,2651.0,2485,6209,2905932.0,3724,56,56,11.582410800816367,1.0,20.7,2722.4,38.99743581314035,1161.0,17.33493582335971,2663.8004000000074,38.46038481736795,2521.2,29.37175513992985,6148.2,302.70893610859923,2953131.6,95857.615207661,3627.0,289.2516205659011,56.8,0.44721359549995765,57.2,0.8366600265340757,7.796854782831366,4.511190227755546,1.0070175438596491,0.009609167675529254,8,0.17465769047756466,0.21268499082909428,0.6574723966109297,0.8474371080603376,0.06428826257581163,0.0019265073135925795,-0.6399014897598467,0.051519490566221265,0.16963402972953057,0.19804260508171753,0.6596400421883791,0.9166156474938344,0.07330103939629587,0.0020870125923760723,-0.5914765121563988,0.047590740154222475,,,,,False,,,,
2683.0,1166.0,2617.0,2528,5869,2847019.0,3341,57,58,10.064708598288009,1.0175438596491229,20.9,2716.0,40.644802865803165,1164.2,12.637246535539298,2653.2004000000074,41.12402339630372,2520.0,27.449954462621488,6061.4,148.82640894679955,2908316.4,47099.36582694088,3541.4,151.437445831604,56.8,0.44721359549995765,57.4,1.1401754250991387,6.556146382753262,4.292698081144242,1.0105263157894737,0.015691705105261716,8,0.18151105642549603,0.21542808976061611,0.6517238994207794,0.951204917210583,0.060748328353962155,0.0017072129748186087,-0.6053122200430983,0.023268117691583823,0.17647558255601087,0.20655288126343258,0.6997508331416882,0.9857941869273315,0.10165870712499411,0.002475220229535789,-0.6399014897598467,0.0571349304815271,,,,,False,,,,
2786.0,1185.0,2721.0,2500,5971,2943637.0,3471,57,57,0.9386671401514046,1.0,21.1,2720.6,41.512648674831645,1167.0,13.28533025558642,2655.4002000000037,41.40391648382695,2505.2,36.98242825991812,6016.4,183.18515223674652,2880655.2,46764.00127983071,3511.2,171.27667675430882,56.6,0.547722557505166,57.6,1.1401754250991387,7.410396396577229,4.452029680575276,1.0176691729323308,0.01770202601723301,8,0.18169399793908592,0.21045021767026426,0.7057352802548248,0.9339102823522087,0.1535799264546831,0.0031725430816929843,-0.7609639337684664,0.08376450480048211,0.1827332065730906,0.2166268244816015,0.7339556812185045,1.0342191645307792,0.11719761490023148,0.0035048556525621123,-0.67794968644827,0.06418244364796356,,,,,False,,,,
2695.0,1153.0,2624.0010000000184,2554,6208,2880900.0,3654,57,59,4.694885117940122,1.0350877192982457,21.3,2725.8,40.369542974871564,1170.6,11.92895636675732,2659.2004000000074,41.76946013895536,2512.8,35.67492116319237,5965.6,148.32329554051844,2876109.8,44754.24230952871,3452.8,123.7727756818921,56.6,0.547722557505166,57.8,0.8366600265340757,6.038225141458969,3.863035392019676,1.0212406015037596,0.014811372748964862,8,0.193409181638155,0.22262217885922578,0.8523079349163835,1.2625083446613192,0.18931252760194317,0.004857941999116737,-0.6917853943349694,0.08877277172132148,0.18731948879979035,0.22113068751936554,0.7639909015102286,1.1103155579076258,0.1291209920795789,0.0037319589466619403,-0.6952443213066443,0.06478191482374152,,,,,False,,,,
2736.0,1175.0,2664.0,2459,5825,2825788.0,3366,56,58,9.771310325690246,1.0357142857142858,21.5,2742.2,34.924203641600776,1169.8,12.437845472588894,2672.4004000000073,34.97534274742046,2499.0,41.237119201030424,5975.6,141.72085238242104,2882361.8,41757.520528642635,3476.6,107.2371204387733,56.6,0.547722557505166,57.8,0.8366600265340757,4.984825826092241,3.1412665815199694,1.0212406015037594,0.014811372748964862,8,0.18239410638515133,0.22194864528880717,0.8025388948896055,1.176035170369448,0.11805902951475739,0.005860072893589652,-0.6917853943349694,0.07358733346020913,0.19099648332377878,0.22652854748653312,0.8181237148915091,1.1691173164260984,0.147271711891367,0.006183446746636031,-0.7021621752499939,0.0787617459187255,,,,,False,,,,
2729.0,1174.0,2670.0010000000184,2523,5955,2883205.0,3432,56,57,4.721554525225064,1.0178571428571428,21.7,2736.6,27.627884464793876,1163.4,10.784247771634336,2663.000600000011,22.86896369098979,2511.2,49.75138189035552,6036.6,194.90587471905496,2898087.4,73410.73634217281,3525.4,150.7441541155078,56.4,0.547722557505166,58.0,0.7071067811865481,6.765351246238154,2.776362478036406,1.0283834586466167,0.009756144120544296,8,0.19758910161106347,0.23520430601791426,0.8076484980695506,1.2279190749445708,0.1239051484725486,0.0030620237840917183,-0.7263746640517179,0.054516846445110984,0.19643466731701809,0.23513003696733187,0.872112915293717,1.3074743952930923,0.15030635253933872,0.009068503192175966,-0.6675729055332456,0.0818012624071782,,,,,False,,,,
2765.0,1162.0,2683.0,2459,5919,2878279.0,3460,57,58,4.797712021454367,1.0175438596491229,21.9,2756.4,25.774017925034485,1167.4,9.607288899580343,2684.2004000000074,26.517688441864134,2505.6,45.08658337022215,6002.4,170.82681288369213,2919614.0,82347.69599691307,3496.8,132.7354511801575,56.4,0.547722557505166,57.8,0.44721359549995915,6.589652251315483,2.9617539293366577,1.024874686716792,0.009895981326619173,8,0.19989602904543827,0.24241738959645406,0.9223879663271812,1.245213709802945,0.15150192741290275,0.013964651974689069,-0.6399014897598467,0.09316727316650392,0.19879217546145414,0.24020774275666076,0.8809547605511019,1.35589937289654,0.1383436454640984,0.009522195529467505,-0.6226068549014725,0.07620861472996074,,,,,False,,0.3918714234269535,0.323341403649842,0.3576064135383977
